grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
X, dfid, 11puzzle, "3 1 2 11 7 5 9 10 B 6 4 8", 24, 54090193, 0.952112, 5.6810746005e+07
X, dfid, 11puzzle, "1 2 5 3 4 8 7 9 11 6 B 10", 10, 8016, 0.000162, 4.9481481481e+07
X, dfid, 11puzzle, "3 5 B 7 2 1 4 6 8 9 10 11", 12, 17295, 0.000382, 4.5274869110e+07
X, dfid, 11puzzle, "1 4 8 2 10 5 7 9 6 3 B 11", 24, 82573608, 1.468633, 5.6224807695e+07
X, dfid, 11puzzle, "1 5 4 3 B 2 6 7 10 9 11 8", 12, 33121, 0.000596, 5.5572147651e+07
X, dfid, 11puzzle, "1 2 5 3 4 8 7 11 B 6 9 10", 10, 5600, 0.000135, 4.1481481481e+07
X, dfid, 11puzzle, "3 1 2 4 7 5 6 10 8 9 B 11", 4, 147, 0.000006, 2.4500000000e+07
X, dfid, 11puzzle, "1 4 2 10 3 5 B 6 8 9 7 11", 14, 101561, 0.002128, 4.7726033835e+07
X, dfid, 11puzzle, "3 5 B 4 7 8 6 1 2 9 11 10", 26, 282212822, 4.955703, 5.6947081373e+07
X, dfid, 11puzzle, "5 3 4 1 2 8 6 7 11 9 B 10", 14, 76337, 0.001390, 5.4918705036e+07
X, dfid, 11puzzle, "4 2 5 8 6 3 7 11 B 9 1 10", 24, 72293225, 1.249811, 5.7843325911e+07
X, dfid, 11puzzle, "3 2 7 6 B 4 5 10 8 9 11 1", 22, 19382188, 0.336660, 5.7571995485e+07
X, dfid, 11puzzle, "8 1 2 3 B 4 10 5 7 6 9 11", 20, 4364106, 0.075469, 5.7826471796e+07
X, dfid, 11puzzle, "1 2 5 6 3 4 7 10 8 9 B 11", 8, 1983, 0.000042, 4.7214285714e+07
X, dfid, 11puzzle, "1 4 2 3 B 5 10 7 8 6 9 11", 8, 2940, 0.000064, 4.5937500000e+07
X, dfid, 11puzzle, "4 3 2 6 B 8 5 1 7 9 10 11", 12, 40277, 0.000858, 4.6942890443e+07
X, dfid, 11puzzle, "4 2 1 3 B 10 6 5 11 7 9 8", 24, 98879087, 1.723425, 5.7373594441e+07
X, dfid, 11puzzle, "3 1 2 4 7 5 B 6 8 9 10 11", 4, 104, 0.000006, 1.7333333333e+07
X, dfid, 11puzzle, "7 6 4 10 1 2 9 3 5 11 B 8", 22, 17518445, 0.307035, 5.7056833911e+07
X, dfid, 11puzzle, "1 2 B 3 6 5 7 8 11 4 9 10", 16, 233382, 0.004096, 5.6978027344e+07
X, dfid, 11puzzle, "3 1 2 6 B 5 10 4 11 8 9 7", 14, 160112, 0.003380, 4.7370414201e+07
X, dfid, 11puzzle, "3 2 B 6 1 5 10 4 8 7 9 11", 10, 5602, 0.000113, 4.9575221239e+07
X, dfid, 11puzzle, "3 2 5 4 1 8 6 7 11 9 B 10", 8, 1504, 0.000033, 4.5575757576e+07
X, dfid, 11puzzle, "5 8 2 3 6 1 4 11 B 9 7 10", 22, 17556298, 0.310933, 5.6463283087e+07
X, dfid, 11puzzle, "5 6 1 3 B 8 9 2 4 10 7 11", 18, 1811052, 0.033911, 5.3406033440e+07
X, dfid, 11puzzle, "5 3 8 1 B 11 6 2 4 9 7 10", 18, 1815443, 0.032753, 5.5428296645e+07
X, dfid, 11puzzle, "1 4 2 3 7 5 6 10 8 9 B 11", 4, 155, 0.000007, 2.2142857143e+07
X, dfid, 11puzzle, "4 3 2 1 7 5 B 11 10 6 9 8", 14, 130947, 0.002695, 4.8588868275e+07
X, dfid, 11puzzle, "3 1 2 7 6 8 5 4 11 9 B 10", 14, 66761, 0.001391, 4.7994967649e+07
X, dfid, 11puzzle, "1 2 B 3 4 5 6 7 8 9 10 11", 2, 12, 0.000002, 6.0000000000e+06
